City_id,City,Cloudiness,Country,Date,Humidity,latitude,longitude,Max temp,Wind Speed
487,Hayden,1,US,1584489903,31,47.77,-116.79,286.15,3.6
488,Florø,96,NO,1584490195,80,61.6,5.03,278.15,6.7
489,Brazzaville,75,CG,1584490195,83,-4.27,15.28,299.15,0.77
490,Sigmaringen,23,DE,1584490195,93,48.08,9.22,282.04,1.0
491,Nong’an,95,CN,1584490196,40,44.38,125.17,276.15,5.0
492,Bento Gonçalves,0,BR,1584490196,87,-29.17,-51.52,296.48,4.02
493,San Jose,75,US,1584489996,58,37.34,-121.89,287.04,6.2
494,Valsād,0,IN,1584490196,60,20.63,72.93,296.15,1.51
495,Northam,75,GB,1584490196,93,51.03,-4.22,284.26,6.2
496,Myrtle Beach,20,US,1584490197,87,33.69,-78.89,289.82,1.5
497,Port Macquarie,90,AU,1584490197,93,-31.43,152.92,295.93,2.6
498,Young,99,UY,1584490197,85,-32.68,-57.63,291.72,5.43
499,Nueva Helvecia,100,UY,1584490198,92,-34.3,-57.23,290.93,1.79
500,Santa Monica,20,US,1584489976,51,34.02,-118.49,290.15,3.6
501,Namatanai,100,PG,1584489925,71,-3.67,152.43,302.07,1.94
502,Auray,33,FR,1584490198,70,47.67,-2.99,282.04,2.1
503,Vilhena,100,BR,1584490199,94,-12.74,-60.15,296.15,2.1
504,Arrondissement de Saint-Denis,71,FR,1584490199,93,48.92,2.33,284.82,1.0
505,Port Lincoln,83,AU,1584490015,27,-34.73,135.87,300.82,3.54
506,Aksarka,16,RU,1584490199,83,66.56,67.8,263.21,7.17
507,Oyama,20,JP,1584490199,70,36.3,139.8,285.93,2.6
508,Jinchang,22,CN,1584490200,27,38.5,102.17,273.87,5.75
509,Autun,7,FR,1584490200,87,46.95,4.3,281.15,1.0
510,Arrondissement de Carcassonne,48,FR,1584490200,87,43.25,2.17,283.71,1.5
511,Zhuhai,40,CN,1584490200,73,22.28,113.57,295.37,4.1
512,Vasto,87,IT,1584490200,93,42.12,14.71,277.15,3.6
513,Winnemucca,40,US,1584490201,36,40.97,-117.74,280.15,5.7
514,Goderich,29,CA,1584489901,47,43.75,-81.72,277.04,0.89
515,Kidal,75,ML,1584490201,18,18.44,1.41,300.18,3.16
516,Līsakovsk,0,KZ,1584490201,89,52.54,62.49,266.2,5.23
517,Kalmar,60,SE,1584490022,87,56.66,16.36,280.93,4.1
518,Kabinda,100,CD,1584490202,93,-6.13,24.48,293.31,4.77
519,Sokoto,77,NG,1584490202,6,13.06,5.24,300.53,4.64
520,Coquimbo,20,CL,1584490026,82,-29.95,-71.34,289.15,4.1
521,Progreso,75,MX,1584490203,55,21.28,-89.67,303.15,7.7
522,Amagasaki,40,JP,1584490203,71,34.72,135.42,286.48,1.5
523,Luanda,20,AO,1584489800,83,-8.84,13.23,300.15,2.32
524,Novaya Ladoga,98,RU,1584490203,66,60.1,32.3,275.93,5.18
525,Lockhart,75,US,1584490203,65,28.62,-81.44,300.37,5.1
526,Sangmélima,100,CM,1584490204,91,2.93,11.98,294.57,1.39
527,Puerto Nariño,75,CO,1584490204,94,-3.77,-70.38,301.15,1.5
528,La Roche-sur-Yon,75,FR,1584490204,87,46.67,-1.43,285.15,1.73
529,San Quintín,45,MX,1584490204,55,30.48,-115.95,288.83,3.33
530,Spornoye,18,RU,1584490205,55,50.84,37.29,274.15,3.0
531,Pierre,90,US,1584490205,67,44.37,-100.35,278.15,8.2
532,Praia,75,CV,1584490205,68,14.92,-23.51,294.15,7.7
533,Bulgan,47,MN,1584490205,82,48.81,103.53,263.23,1.7
534,South Kazakhstan Region,79,KZ,1584490205,51,43.0,68.0,285.58,2.94
535,Kloulklubed,75,PW,1584490206,69,7.04,134.26,301.15,4.1
536,Onverwacht,40,SR,1584490206,74,5.58,-55.18,301.15,4.1
537,Tucuruí,91,BR,1584490206,92,-3.77,-49.67,297.55,1.31
538,Makakilo City,90,US,1584490206,94,21.35,-158.09,296.15,1.5
539,Tupik,100,RU,1584490207,90,54.43,119.93,267.29,1.43
540,Nishiwaki,75,JP,1584490207,93,34.98,134.97,287.04,1.0
541,Mayumba,100,GA,1584490207,84,-3.43,10.66,300.2,4.45
542,Panan,40,PH,1584490207,73,15.21,120.03,298.15,5.7
543,Yinchuan,0,CN,1584489962,20,38.47,106.27,279.32,3.48
544,Kawalu,70,ID,1584490208,87,-7.38,108.21,295.74,1.08
545,Galesong,20,ID,1584490208,83,-5.32,119.37,299.15,2.6
546,Heinola,90,FI,1584490208,93,61.21,26.04,276.48,5.1
